Domain Name | Source IP | Destination IP | Query Type | Count
euc-powerpoint-telemetry.officeapps.live.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
euc-powerpoint-telemetry.officeapps.live.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
euc-powerpoint-telemetry.officeapps.live.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
euc-powerpoint-telemetry.officeapps.live.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
euc-powerpoint-telemetry.officeapps.live.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
euc-powerpoint-telemetry.officeapps.live.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
pgteu4-powerpoint-telemetry-vip.officeapps.live.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
pgteu4-powerpoint-telemetry-vip.officeapps.live.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
euc-powerpoint-telemetry.officeapps.live.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
content-autofill.googleapis.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
content-autofill.googleapis.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
content-autofill.googleapis.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
content-autofill.googleapis.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
content-autofill.googleapis.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
content-autofill.googleapis.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
content-autofill.googleapis.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
content-autofill.googleapis.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
owl.officeapps.live.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
owl.officeapps.live.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
owl.officeapps.live.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
owl.officeapps.live.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
owl.officeapps.live.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
owl.officeapps.live.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
fs.microsoft.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
fs.microsoft.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
fs.microsoft.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
fs.microsoft.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
fs.microsoft.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
fs.microsoft.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
e16604.g.akamaiedge.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
fs.microsoft.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
e16604.g.akamaiedge.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
fs.microsoft.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
euc-collabrtc.officeapps.live.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
euc-collabrtc.officeapps.live.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
euc-collabrtc.officeapps.live.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
euc-collabrtc.officeapps.live.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
euc-collabrtc.officeapps.live.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
euc-collabrtc.officeapps.live.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
euc-collabrtc.officeapps.live.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
b-0016.b-msedge.net | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
b-0016.b-msedge.net | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
euc-collabrtc.officeapps.live.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
peu3-collabhubrtc.officeapps.live.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
peu3-collabhubrtc.officeapps.live.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
peu3-collabhubrtc.officeapps.live.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
peu3-collabhubrtc.officeapps.live.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
peu3-collabhubrtc.officeapps.live.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
peu3-collabhubrtc.officeapps.live.com | 192.168.1.1 | 192.168.1.179 | A | 1 fois
peu3-vipcollabrtc.officeapps.live.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
peu3-collabhubrtc.officeapps.live.com | 127.0.0.53 | 127.0.0.1 | A | 1 fois
peu3-vipcollabrtc.officeapps.live.com | 192.168.1.1 | 192.168.1.179 | HTTPS | 1 fois
peu3-collabhubrtc.officeapps.live.com | 127.0.0.53 | 127.0.0.1 | HTTPS | 1 fois
eu-office.events.data.microsoft.com | 127.0.0.1 | 127.0.0.53 | A | 1 fois
eu-office.events.data.microsoft.com | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
eu-office.events.data.microsoft.com | 192.168.1.179 | 192.168.1.1 | A | 1 fois
eu-office.events.data.microsoft.com | 192.168.1.179 | 192.168.1.1 | HTTPS | 1 fois
amcdn.msftauth.net | 127.0.0.1 | 127.0.0.53 | A | 1 fois
amcdn.msftauth.net | 127.0.0.1 | 127.0.0.53 | HTTPS | 2 fois
